ingredient,source_medicine_count,source_composition_count,source_evidence,sample_source_medicines,risk_flags,relation_status,review_status
stanozolol,3,2,Angioedema,Menabol Tablet | Neurabol Capsule | Stanza 20 Tablet,,composition_level_evidence_only,review_required
tamoxifen,3,2,Breast cancer,Mamofen 20 Tablet | Tamodex 10mg Tablet | Tamodex 20mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
thiamine,3,3,Nutritional deficiencies | Nutritional deficiencies Vitamin B12 deficiency,M.V.I. Injection | Optineuron Injection | Thiamin Injection,injection_or_parenteral,composition_level_evidence_only,review_required
thioridazine,3,2,Schizophrenia,Ridazin 25 Tablet | Thioril 10 Tablet | Thioril 25 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
tianeptine,3,2,Depression,Stablon Tablet | Tynept OD Tablet ER | Tynept Tablet,,composition_level_evidence_only,review_required
triprolidine,3,3,Common cold,Recofast Plus Tablet | Recofast Syrup | Recofast Tablet,,composition_level_evidence_only,review_required
vancomycin,3,2,Severe bacterial infections | Clostridium difficile associated diarrhea,Ledovanc 500 Injection | Vanking 500mg Injection | Vanlid 250mg Capsule,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
vitamin a,3,3,Treatment of Vitamin A deficiency | Nutritional deficiencies,Aquasol A Capsule | M.V.I. Injection | Vitamin A Chewable Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
acamprosate,2,1,Alcohol addiction,Acamprol Tablet | Acamptas 333 Tablet,,composition_level_evidence_only,review_required
almotriptan,2,2,Treatment of Acute migraine headache,Almotan 12.5 Tablet | Almotan 6.25 Tablet,,composition_level_evidence_only,review_required
alogliptin,2,2,Treatment of Type 2 diabetes mellitus,Aloja 12.5 Tablet | Aloja 25 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
amiloride,2,2,Edema | Treatment of Edema,Amifru 40 Tablet | Amifru Plus Tablet,,composition_level_evidence_only,review_required
amlexanox,2,1,Mouth ulcers,Lexanox Oral Paste | Lexanox Plus Oral Paste Sugar Free,,composition_level_evidence_only,review_required
anti rh d immunoglobulin,2,2,Prevention of Infections,Rhoclone 150mcg Injection | Rhoclone 300mcg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
arteether,2,2,Malaria | Treatment of Malaria,Lumerax Dry Syrup | Match 150mg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
astaxanthin,2,2,Female infertility | Infertility,New Alene Tablet | Ovaa Shield DS Combipack,,composition_level_evidence_only,review_required
aztreonam,2,1,Severe bacterial infections,Azenam 1gm Injection | Azom 1gm Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
bacillus calmette-guerin strain,2,1,Treatment of Early-stage bladder cancer,Onco Bcg 40mg Injection | SII-Onco-BCG Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
bacillus clausii,2,1,Diarrhea,Gutgermina Oral Suspension | Novogermina Oral Suspension,,composition_level_evidence_only,review_required
benzathine penicillin g,2,2,Treatment of Bacterial infectionsTreatment of SyphilisPrevention of Rheumatic fever,Penidure LA 12 Injection | Penidure LA 6 Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
benzoic acid,2,2,Treatment of Psoriasis,Exsora Ointment | Keralin Ointment,,composition_level_evidence_only,review_required
benzoin,2,2,Treatment of Warts | Warts,Podowart Paint | Podowart S Paint,,composition_level_evidence_only,review_required
benzyl nicotinate,2,2,Treatment of Thrombophlebitis,Thrombophob Gel | Thrombophob Ointment,,composition_level_evidence_only,review_required
bicalutamide,2,1,Prostate cancer,Tabi Tablet | Utamide Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
bifonazole,2,1,Fungal skin infections,Biospor 1% Cream | Fonafirst 1% Cream,,composition_level_evidence_only,review_required
blonanserin,2,2,Schizophrenia Mania,Elicia 4 Tablet | Elicia 8 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
boron,2,1,Nutritional deficiencies,Aeocal Max Softgel Capsule | Mibcal Soft Gelatin Capsule,,composition_level_evidence_only,review_required
calcium carbonate,2,1,Osteoporosis,Gemcal -Kit | Gemitrol Kit,,composition_level_evidence_only,review_required
calcium leucovorin,2,1,Prevention of Harmful effects of methotrexate,Biovorin 15 Tablet | Leucorin Tablet,,composition_level_evidence_only,review_required
calcium polystyrene sulphonate,2,1,Treatment of Increased potassium levels in blood,Kaycut Powder | Kchek 15gm Sachet,,composition_level_evidence_only,review_required
cefaclor,2,2,Bacterial infections | Treatment of Bacterial infections,Distaclor 187mg Oral Suspension Strawberry | Distaclor Drop,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
cefdinir,2,2,Bacterial infections | Treatment of Bacterial infections,Sefdin Capsule | Sefdin Dry Syrup,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
cefditoren,2,2,Treatment of Bacterial infections,Zostum O 100mg Dry Syrup | Zostum-O 200mg Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
cefepime,2,2,Bacterial infections | Treatment of Severe bacterial infections,Magnova 1000 mg/125 mg Injection | Novapime 1gm Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
ciclesonide,2,1,Chronic obstructive pulmonary disease (COPD),Trimium Transhaler | Triohale Inhaler,,composition_level_evidence_only,review_required
citrus bioflavonoid,2,2,Bleeding | Heavy menstrual bleeding,Hemsyl Cvp Tablet | Pause-XT Tablet,,composition_level_evidence_only,review_required
clioquinol,2,1,Bacterial infections of external ear Fungal skin infections,Dermoquinol 8% Cream | Dermoquinol 8% Ointment,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
colchicine,2,1,Treatment of Gout,Goutnil 0.5mg Tablet | Zycolchin Tablet,,composition_level_evidence_only,review_required
colistin sulphate,2,2,Treatment of Severe bacterial infections,Walamycin  DS 25mg Suspension | Walamycin Suspension,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
cyclobenzaprine,2,1,Muscle relaxation,Flexabenz ER Capsule | Skelebenz 15 Capsule ER,,composition_level_evidence_only,review_required
dalteparin,2,2,Treatment and prevention of Blood clots,Daltehep 5000IU Injection | Fragmin 2500IU Injection,injection_or_parenteral,composition_level_evidence_only,review_required
degarelix,2,1,Prostate cancer,Degalyn 80 Injection | Firmagon 80mg Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
desoximetasone,2,1,Skin conditions with inflammation & itching,Emcor Cream | Provate-D Cream,,composition_level_evidence_only,review_required
dexchlorpheniramine,2,2,Treatment of Allergic conditions,Polaramine 2mg Tablet | Polaramine Paediatric Syrup,,composition_level_evidence_only,review_required
diclofenac diethylamine,2,2,Pain relief,Joyace Nano Gel 2X | Moveran Gel,,composition_level_evidence_only,review_required
diethylcarbamazine,2,2,Parasitic infections,Eofil Forte 250 mg/4 mg Tablet | Unicarbazan Forte Tablet,,composition_level_evidence_only,review_required
digoxin,2,2,Heart failure Arrhythmia,Dixin Paed Oral Solution | Lanoxin Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
dinoprostone,2,2,Induction of labour,Primigyn 0.5mg Gel | Propess Pessaries,,composition_level_evidence_only,review_required
disodium edetate,2,2,Treatment of Bacterial infections,Elores 1.5gm Injection | Elores 3000mg Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
disulfiram,2,2,Treatment of Alcohol addiction,Esperal Tablet | Recopress 500mg Tablet,,composition_level_evidence_only,review_required
dolutegravir,2,2,HIV infection,Spegra Tablet | Viropil Tablet,,composition_level_evidence_only,review_required
dydrogesterone,2,2,Hormone replacement therapy,Femoston Conti 1mg/5mg Tablet | Femoston Tablet,,composition_level_evidence_only,review_required
eflornithine,2,1,Facial hirsutism (Excessive hair growth on face),Eflora Cream | Elyn Cream,,composition_level_evidence_only,review_required
eltrombopag,2,2,Low platelet count due to ITP or HCV infectionTreatment of Severe Aplastic Anemia,Revolade 25mg Tablet | Revolade 50mg Tablet,,composition_level_evidence_only,review_required
ergotamine,2,2,Migraine,Migranil EC 1mg/100mg Tablet | Vasograin Tablet,,composition_level_evidence_only,review_required
ertapenem,2,1,Severe bacterial infections,Gerta Injection | Lyortam 1gm Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
etanercept,2,2,Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Intacept 25 Solution for Injection | Intacept 50mg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
euphorbia prostrata extract,2,2,Treatment of Piles,Sitcom Tablet | Thank OD Forte Tablet,,composition_level_evidence_only,review_required
everolimus,2,2,Prevention of organ rejection in transplant patientsTreatment of Breast cancerTreatment of Pancreatic cancerTreatment of Lung cancerTreatment of Kidney cancer,Advacan 0.25mg Tablet | Rolimus 5 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
famotidine,2,2,Treatment of Gastroesophageal reflux disease (Acid reflux)Treatment of Peptic ulcer diseaseTreatment of Heartburn,Topcid 20 Tablet | Topcid 40 Tablet,,composition_level_evidence_only,review_required
feracrylum,2,2,Bleeding | Wound infection,Sepgard AR Gel | Sepgard Solution,,composition_level_evidence_only,review_required
fimasartan,2,2,Heart failure Hypertension (high blood pressure) Prevention of heart attack and stroke,Fimagen 60 Tablet | Fimanta 120 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
freeze-dried live attenuated hepatitis a vaccine,2,2,Prevention of Hepatitis A infection | Prevention of Hepatitis A infection Prevention of Hepatitis B infection,Biovac A Vaccine | Twinrix Adult Injection,injection_or_parenteral,composition_level_evidence_only,review_required
furazolidone,2,2,Diarrhea Dysentery | Infectious diarrhea,Aristogyl-F Oral Suspension | Aristogyl-F Tablet,,composition_level_evidence_only,review_required
galantamine,2,2,Alzheimer's disease,Galamer 4 Tablet | Galamer 8 Tablet,,composition_level_evidence_only,review_required
gestodene,2,2,Contraception,Femovan Tablet | Minesse Tablet,,composition_level_evidence_only,review_required
glycerol,2,1,Treatment of Dry eyes,Aquanac Eye Drop | Brite Eye Drop,,composition_level_evidence_only,review_required
glycine,2,2,Prevention of heart attack and stroke,Aspisol 150 Tablet | Aspisol 75 Tablet,,composition_level_evidence_only,review_required
hesperidin,2,2,Varicose veins,Aldosmin 1000mg Tablet | Aldosmin 500mg Tablet,,composition_level_evidence_only,review_required
human hepatitis b immunoglobulin,2,2,Prevention of Hepatitis B infection,Fovepta 200IU Solution for Injection | Hepabsv 100IU Injection,injection_or_parenteral,composition_level_evidence_only,review_required
human rabies immunoglobulin,2,1,Prevention of Rabies,Berirab P Injection | Kamrab Injection,injection_or_parenteral,composition_level_evidence_only,review_required
hydroxocobalamin,2,2,Treatment of Nutritional deficiencies | Vitamin & mineral deficiency,Trineurosol HP 1000mcg Injection | Trineurosol HV Injection,injection_or_parenteral,composition_level_evidence_only,review_required
hyoscine butylbromide,2,2,Treatment of Pain due to smooth muscle spasmTreatment of Irritable bowel syndrome | Treatment of Menstrual pain,Buscogast 20mg Injection | Hyocimax MF  Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
idebenone,2,1,Treatment of Friedreich's ataxiaTreatment of Leber’s Hereditary Optic Neuropathy,IDEBEST 45MG TABLET | Norwayz Tablet,,composition_level_evidence_only,review_required
iguratimod,2,1,Treatment of Rheumatoid arthritis,Igurati 25mg Tablet | Redimard 25mg Tablet,,composition_level_evidence_only,review_required
iloperidone,2,2,Schizophrenia Mania,Ilosure 4 Tablet | Ilosure 6mg Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
inositol,2,2,Treatment of Neuropathic pain | Vitamin & mineral deficiency,Rexnerve Plus Softgel Capsule | Trineurosol HV Injection,injection_or_parenteral,composition_level_evidence_only,review_required
inositol nicotinate,2,2,Peripheral vascular disease,Hexolip 500 Tablet | Niacin NF Tablet,,composition_level_evidence_only,review_required
iron isomaltoside,2,1,Iron deficiency anemia,Isofer Injection | Jilazo Solution for Injection,injection_or_parenteral,composition_level_evidence_only,review_required
isopropamide,2,2,Irritable bowel syndrome,Stelbid 2 Tablet | Stelbid Tablet,,composition_level_evidence_only,review_required
ketotifen,2,2,Prevention of Asthma,Ketasma Tablet | Zaditen Eye Drop,,composition_level_evidence_only,review_required
lactobacillus acidophilus,2,1,Treatment of Bacterial infections,Acv-LB Tablet | Tuffclav LB Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
lafutidine,2,2,Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease | Heartburn Gastroesophageal reflux disease (Acid reflux) Peptic ulcer disease,Lafaxid 10 Tablet | Lafaxid-D  Tablet,,composition_level_evidence_only,review_required
lenalidomide,2,2,Treatment of Multiple myelomaTreatment of Myelodysplastic syndrome,Lenalid 25 Capsule | Lenalid 5 Capsule,,composition_level_evidence_only,review_required
lercanidipine,2,2,Hypertension (high blood pressure),Lotensyl 10 Tablet | Lotensyl AT Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
levomilnacipran,2,2,Depression,Levomil 20 Capsule ER | Levomil 40 Capsule ER,,composition_level_evidence_only,review_required
liposomal amphotericin b,2,2,Fungal skin infections | Treatment of Severe fungal infectionsTreatment of Leishmaniasis.,Ambilon 50mg Injection | Amfy Gel,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
liraglutide,2,2,Treatment of Type 2 diabetes mellitus,Victoza Solution for Injection | Xultophy Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
live freeze dried lactic acid bacteria and bifidobacteria,2,1,Treatment of Ulcerative colitisTreatment of Irritable bowel syndrome,VSL 3 Capsule | Visbiome Capsule,,composition_level_evidence_only,review_required
lopinavir,2,1,HIV infection,Hivus-LR 50mg/200mg Tablet | Ritocom 50 mg/200 mg Tablet,,composition_level_evidence_only,review_required
lymecycline,2,1,Bacterial infections,Involym Capsule | Lymzit 408mg Capsule,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
macitentan,2,1,Pulmonary arterial hypertension (PAH),Macitent 10mg Tablet | Opsutan Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
magnesium oxide,2,1,Nutritional deficiencies,Aeocal Max Softgel Capsule | Mibcal Soft Gelatin Capsule,,composition_level_evidence_only,review_required
magnesium sulphate,2,2,Nutritional deficiencies | Seizures in pregnant women with high blood pressure Decreased magnesium levels in blood,Magneon 50% Injection | Muscobon Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
measles vaccine,2,1,Prevention of Measles Prevention of Rubella Prevention of Mumps,Priorix Vaccine | Tresivac Vaccine,,composition_level_evidence_only,review_required
meclizine,2,1,Motion sickness Vertigo,PNV New Tablet | Vominos 25mg Tablet,,composition_level_evidence_only,review_required
menadione,2,2,Bleeding | Heavy menstrual bleeding,Hemsyl Cvp Tablet | Pause-XT Tablet,,composition_level_evidence_only,review_required
methylcobalamin/mecobalamin,2,1,Polycystic ovarian syndrome (PCOS),Metafolate Tablet | Oosure-M Tablet,,composition_level_evidence_only,review_required
methylergometrine,2,2,Post-delivery bleeding,Methergin Injection | Methergin Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
midodrine,2,2,Treatment of Low blood pressure,Gutron 2.5mg Tablet | Inramed 5 Tablet,,composition_level_evidence_only,review_required
miglitol,2,2,Treatment of Type 2 diabetes mellitus,Mignar 25 Tablet | Mignar 50 Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
mumps virus vaccine,2,1,Prevention of Measles Prevention of Rubella Prevention of Mumps,Priorix Vaccine | Tresivac Vaccine,,composition_level_evidence_only,review_required
nefopam,2,2,Pain relief,Nefodol Tablet | Nefosar Tablet,,composition_level_evidence_only,review_required
neostigmine,2,2,Myasthenia gravis Paralytic ileus Post-operative urinary retention Reversal of effect of skeletal muscle relaxant  after surgery | Reversing the effects of certain drugs used during surgery,Myo Pyrolate Injection | Tilstigmin Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
nicotine,2,1,Quitting smoking,Niclonz 4 Pastilles Mint Sugar Free | Nicogum 4 Nicotine Gum Chewing Gums Fresh Mint Sugar Free,,composition_level_evidence_only,review_required
nintedanib,2,2,Treatment of Idiopathic pulmonary fibrosisTreatment of Non-small cell lung cancer,Nindanib 100 Soft Gelatin Capsule | Nindanib 150 Soft Gelatin Capsule,chronic_or_specialist_condition,composition_level_evidence_only,review_required
octenidine,2,2,Mouth infection | Treatment of Bacterial skin infections,Orahex Pro Mouth Wash Mint | Zotobac Gel,,composition_level_evidence_only,review_required
oseltamivir phosphate,2,1,Treatment of Influenza (flu),Antiflu 75mg Capsule | Olsivir Capsule,,composition_level_evidence_only,review_required
palonosetron,2,2,Nausea Vomiting | Nausea and vomiting due to chemotherapy,Akynzeo 300mg/0.5mg Capsule | EME OD Tablet MD,,composition_level_evidence_only,review_required
papain,2,2,Pain relief Swelling | Swelling,Enzictra - DS Tablet | Enzowin-D  Softgel Capsule,,composition_level_evidence_only,review_required
pegfilgrastim,2,1,Prevention of Infections after chemotherapy,Pegex 6mg Injection | Pegstim Injection,injection_or_parenteral,composition_level_evidence_only,review_required
pegylated recombinant human erythropoietin,2,2,Treatment of Anemia due to chronic kidney diseaseTreatment of Anemia due to cancer chemotherapy,Erypeg 50mcg Injection | Erypeg 75mcg Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
penicillin g,2,2,Treatment of Bacterial infectionsTreatment of SyphilisPrevention of Rheumatic fever,Pentids 400 Tablet | Pentids 800 Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
permethrin,2,2,Scabies,Noscab Soap | Xcaber Lotion,,composition_level_evidence_only,review_required
phenyl mercuric nitrate,2,2,Treatment of Eye injury | Treatment of Eye pain,Hypersol Ophthalmic Solution | Proflur Eye Drop,,composition_level_evidence_only,review_required
podophyllum resin,2,2,Treatment of Warts | Warts,Podowart Paint | Podowart S Paint,,composition_level_evidence_only,review_required
poliomyelitis virus type 1,2,2,Diphtheria Haemophilus influenzae Type b disease Pertussis Tetanus Polio | Prevention of Polio,Hexaxim Vaccine | Poliovac PFS Vaccine,,composition_level_evidence_only,review_required
poliomyelitis virus type 2,2,2,Diphtheria Haemophilus influenzae Type b disease Pertussis Tetanus Polio | Prevention of Polio,Hexaxim Vaccine | Poliovac PFS Vaccine,,composition_level_evidence_only,review_required
poliomyelitis virus type 3,2,2,Diphtheria Haemophilus influenzae Type b disease Pertussis Tetanus Polio | Prevention of Polio,Hexaxim Vaccine | Poliovac PFS Vaccine,,composition_level_evidence_only,review_required
posaconazole,2,1,Severe fungal infections,Noxafil Oral Suspension | Picasa 40mg Oral Suspension,,composition_level_evidence_only,review_required
potassium clavulanate,2,1,Treatment of Bacterial infections,Acv-LB Tablet | Tuffclav LB Tablet,antibiotic_or_antimicrobial,composition_level_evidence_only,review_required
primaquine,2,2,Malaria,Malirid 7.5mg Tablet | Malirid-DS Tablet,,composition_level_evidence_only,review_required
proanthocyanidin,2,2,Treatment of Varicose veins | Varicose veins,Pinodin Tablet | Pinodin-TX Plus Tablet,,composition_level_evidence_only,review_required
procyclidine,2,2,Parkinson's disease Drug induced abnormal movements,Dinace 2.5 Tablet | Modin 5 Tablet,,composition_level_evidence_only,review_required
prulifloxacin,2,1,Urinary tract infections (UTIs),Percin Tablet | Pruflox Tablet,,composition_level_evidence_only,review_required
pyrantel pamoate,2,1,Worm infections,Nemocid Oral Suspension | Nemocid Tablet,,composition_level_evidence_only,review_required
pyrimethamine,2,2,Treatment of Malaria,Larinate 200 Kit Tablet | Reziz Suspension,,composition_level_evidence_only,review_required
recombinant follicle stimulating hormone,2,2,Female infertility Male hypogonadism,Folisurge 150 Injection | Gonal-F 300IU Solution for Injection,injection_or_parenteral,composition_level_evidence_only,review_required
recombinant human epidermal growth factor,2,2,Diabetic foot ulcers,Regen-D 150 Gel | Regen-D 60 Gel,,composition_level_evidence_only,review_required
resveratrol,2,1,Nutritional deficiencies,Ageless Tablet | Aisa  Tablet,,composition_level_evidence_only,review_required
rituximab,2,1,Non-Hodgkin lymphoma (NHL) Rheumatoid arthritis Blood cancer (Chronic lymphocytic leukemia) Granulomatosis with polyangiitis Microscopic polyangiitis,Enfiera 500mg Injection | Rituxirel 500mg Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
rupatadine,2,2,Allergic conditions | Sneezing and runny nose due to allergies,Smarti Tablet | Smarti-M Tablet,,composition_level_evidence_only,review_required
saccharomyces boulardii,2,2,Diarrhea | Treatment of Diarrhea,Racigyl SB Powder for Oral Solution | Reflora-R Sachet,,composition_level_evidence_only,review_required
safinamide,2,2,Parkinson's disease,Xafinact 100 Tablet | Xafinact 50 Tablet,,composition_level_evidence_only,review_required
saroglitazar,2,1,Treatment of Noncirrhotic Non-Alcoholic SteatohepatitisTreatment of Non-alcoholic fatty liver diseaseTreatment of Diabetic dyslipidemia (high cholesterol in diabetes),Bilypsa Tablet | Lipaglyn Tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
secnidazole,2,2,Bacterial & parasitic infections | Syndromic treatment of vaginal discharge,Secnil Forte Tablet | Zocon AS Tablet,,composition_level_evidence_only,review_required
silver nano particles,2,1,Prevention of Infections,Meganano Gel | Silverkind Nanofine Gel,,composition_level_evidence_only,review_required
sirolimus,2,1,Prevention of kidney transplant rejection,Rapacan 1mg Tablet | Siromus 1mg Tablet,,composition_level_evidence_only,review_required
sodium fluoride,2,1,Dental cavities,D Flour Tablet | Nunaf Tablet,,composition_level_evidence_only,review_required
sodium perborate monohydrate,2,2,Dry eyes,Ducira Gel | Moisol-Z Eye Drops,,composition_level_evidence_only,review_required
sotalol,2,1,Arrhythmia,Solet Tablet | Sotalar 40 Tablet,,composition_level_evidence_only,review_required
sulfasalazine,2,1,Treatment of Rheumatoid arthritisTreatment of Ulcerative colitisTreatment of Crohn’s diseaseTreatment of Ankylosing spondylitisTreatment of Psoriatic arthritis,SFZ DS Tablet | Salazar DS Tablet,,composition_level_evidence_only,review_required
sulphadoxine,2,2,Treatment of Malaria,Larinate 200 Kit Tablet | Reziz Suspension,,composition_level_evidence_only,review_required
tannic acid,2,2,Treatment of Mouth ulcers,Orasep Gel | Orex Cream,,composition_level_evidence_only,review_required
tazarotene,2,2,Psoriasis Acne,Tazret Forte Cream | Tazret Gel,,composition_level_evidence_only,review_required
teicoplanin,2,2,Severe bacterial infections,Targocid 200mg Injection | Targocid 400mg Injection,antibiotic_or_antimicrobial | injection_or_parenteral,composition_level_evidence_only,review_required
temozolomide,2,2,Brain tumor,Temoside 100 Capsule | Temoside 250 Capsule,,composition_level_evidence_only,review_required
tibolone,2,1,Hormone replacement therapy Post menopausal osteoporosis,Livial Tablet | Sibolone Tablet,injection_or_parenteral,composition_level_evidence_only,review_required
tirofiban,2,1,Prevention of Heart attack,Aggramed 5mg Infusion | Tirofuse Injection,injection_or_parenteral,composition_level_evidence_only,review_required
trastuzumab,2,2,Breast cancer Stomach cancer,Eleftha 150mg Injection | Eleftha 440mg Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
tribasic calcium phosphate,2,2,Bleeding | Heavy menstrual bleeding,Hemsyl Cvp Tablet | Pause-XT Tablet,,composition_level_evidence_only,review_required
troxipide,2,2,Stomach ulcers,Troxip Tablet | Troxip-OD Tablet PR,,composition_level_evidence_only,review_required
uniflexin,2,1,Osteoarthritis,Osiris Tablet | Uniwalk Capsule,,composition_level_evidence_only,review_required
urofollitropin,2,2,Female infertility,Foligraf 150IU Injection | Lupi-Fsh 75 Injection,injection_or_parenteral,composition_level_evidence_only,review_required
valganciclovir,2,1,Treatment of Cytomegalovirus Infection,Valgan Tablet | Virolfi 450mg Tablet,,composition_level_evidence_only,review_required
vardenafil,2,2,Treatment of Erectile dysfunction,Varimax 10 Tablet | Varimax 20 Tablet,,composition_level_evidence_only,review_required
vitamin b12,2,2,Iron deficiency anemia | Treatment of Nutritional deficiencies,Solfe Tablet | VitBuz Softgel Capsule,,composition_level_evidence_only,review_required
vitamin b2,2,2,Nutritional deficiencies | Nutritional deficiencies Vitamin B12 deficiency,M.V.I. Injection | Optineuron Injection,injection_or_parenteral,composition_level_evidence_only,review_required
warfarin,2,2,Prevention of Blood clots,Warf 2 Tablet | Warf 5 Tablet,,composition_level_evidence_only,review_required
xylitol,2,2,Treatment of Dental cavities | Treatment of Dry mouth,Kidodent Mouth Wash Bubble Fruit | Salitol Tablet,,composition_level_evidence_only,review_required
ziprasidone,2,2,Schizophrenia Mania,Zipsydon 20 Capsule | Zipsydon 40 Capsule,chronic_or_specialist_condition,composition_level_evidence_only,review_required
zolmitriptan,2,2,Acute migraine headache,Zolitas ODS 2.5 Strip | Zolmist Nasal Spray,,composition_level_evidence_only,review_required
abacavir,1,1,HIV infection,Albavir Tablet,,composition_level_evidence_only,review_required
adalimumab,1,1,Ankylosing spondylitis Rheumatoid arthritis Psoriasis Ulcerative colitis Crohn’s disease,Mabura 40mg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
agomelatine,1,1,Depression,Agoprex Tablet,,composition_level_evidence_only,review_required
alginic acid,1,1,Acidity Heartburn Stomach ulcers,Gastril Mps  Syrup,,composition_level_evidence_only,review_required
allium cepa,1,1,Burns Stretch Marks,Hexilak Gel,,composition_level_evidence_only,review_required
almagate,1,1,Heartburn,Tricaine Alma Gel Mango Sugar Free,,composition_level_evidence_only,review_required
alprostadil,1,1,Treatment of Patent ductus arteriosus (PDA),Alpostin 500mcg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
aminobenzoic acid,1,1,Vitiligo,Melanocyl Ointment,,composition_level_evidence_only,review_required
amphotericin b,1,1,Fungal infections of vagina,Amfy V  Vaginal gel,,composition_level_evidence_only,review_required
anidulafungin,1,1,Severe fungal infections,Dulavin Injection,injection_or_parenteral,composition_level_evidence_only,review_required
aprepitant,1,1,Nausea and vomiting due to chemotherapy,Aprecap 125/80 Capsule,,composition_level_evidence_only,review_required
arformoterol,1,1,Chronic obstructive pulmonary disease (COPD),Labaneb Respules (2ml Each),,composition_level_evidence_only,review_required
arterolane,1,1,Treatment of Malaria,Synriam 150/750mg Tablet,,composition_level_evidence_only,review_required
artesunate,1,1,Treatment of Malaria,Larinate 200 Kit Tablet,,composition_level_evidence_only,review_required
asenapine,1,1,Schizophrenia Mania,Asenapt 10 Sublingual tablet,chronic_or_specialist_condition,composition_level_evidence_only,review_required
atazanavir,1,1,HIV infection,Atazor-R 300mg/100mg Tablet,,composition_level_evidence_only,review_required
bacillus calmette-guerin,1,1,Prevention of Tuberculosis (TB),Tubervac Vaccine,,composition_level_evidence_only,review_required
bacterial lysate,1,1,Diseases of respiratory tract,Ismigen Tablet,,composition_level_evidence_only,review_required
becaplermin,1,1,Diabetic foot ulcers,Plermin Gel,,composition_level_evidence_only,review_required
benzophenone,1,1,Treatment of Hyperpigmentation,Melalite 15 Cream,,composition_level_evidence_only,review_required
benzoxonium chloride,1,1,Inflammation of gums Mouth ulcers Mouth infection,Lidocam Mouth Wash,,composition_level_evidence_only,review_required
benzyl alcohol,1,1,Pain relief,Vorto Gel,,composition_level_evidence_only,review_required
betaxolol,1,1,Glaucoma Ocular hypertension,Iobet Eye Drop,chronic_or_specialist_condition,composition_level_evidence_only,review_required
bevacizumab,1,1,Cancer of colon and rectum Non-small cell lung cancer Kidney cancer Brain tumor Ovarian cancer Cervical cancer,Avastin 400mg Injection,chronic_or_specialist_condition | injection_or_parenteral,composition_level_evidence_only,review_required
bortezomib,1,1,Multiple myeloma Mantle-cell lymphoma,Myezom 2mg Injection,injection_or_parenteral,composition_level_evidence_only,review_required
